State,Years,Percentage,Race
Nebraska,2016,31.40%,"White alone, not Hispanic or Latino"
Nebraska,2015,31.20%,"White alone, not Hispanic or Latino"
Nevada,2022,35.20%,"White alone, not Hispanic or Latino"
Nevada,2021,34.70%,"White alone, not Hispanic or Latino"
Nevada,2020,33.20%,"White alone, not Hispanic or Latino"
Nevada,2019,34.10%,"White alone, not Hispanic or Latino"
Nevada,2018,33.30%,"White alone, not Hispanic or Latino"
Nevada,2017,32.70%,"White alone, not Hispanic or Latino"
Nevada,2016,31.60%,"White alone, not Hispanic or Latino"
Nevada,2015,31.10%,"White alone, not Hispanic or Latino"
New Hampshire,2022,33.10%,"White alone, not Hispanic or Latino"
New Hampshire,2021,32.60%,"White alone, not Hispanic or Latino"
New Hampshire,2020,30.50%,"White alone, not Hispanic or Latino"
New Hampshire,2019,30.50%,"White alone, not Hispanic or Latino"
New Hampshire,2018,30.20%,"White alone, not Hispanic or Latino"
New Hampshire,2017,30.40%,"White alone, not Hispanic or Latino"
New Hampshire,2016,27.70%,"White alone, not Hispanic or Latino"
New Hampshire,2015,29.60%,"White alone, not Hispanic or Latino"
New Jersey,2022,40.20%,"White alone, not Hispanic or Latino"
New Jersey,2021,39.40%,"White alone, not Hispanic or Latino"
New Jersey,2020,36.50%,"White alone, not Hispanic or Latino"
New Jersey,2019,35.30%,"White alone, not Hispanic or Latino"
New Jersey,2018,36.10%,"White alone, not Hispanic or Latino"
New Jersey,2017,35.40%,"White alone, not Hispanic or Latino"
New Jersey,2016,35.70%,"White alone, not Hispanic or Latino"
New Jersey,2015,35.50%,"White alone, not Hispanic or Latino"
New Mexico,2022,48.50%,"White alone, not Hispanic or Latino"
New Mexico,2021,48.30%,"White alone, not Hispanic or Latino"
New Mexico,2020,45.70%,"White alone, not Hispanic or Latino"
New Mexico,2019,46.50%,"White alone, not Hispanic or Latino"
New Mexico,2018,45.20%,"White alone, not Hispanic or Latino"
New Mexico,2017,44.40%,"White alone, not Hispanic or Latino"
New Mexico,2016,43.60%,"White alone, not Hispanic or Latino"
New Mexico,2015,42.80%,"White alone, not Hispanic or Latino"
New York,2022,42.80%,"White alone, not Hispanic or Latino"
New York,2021,43.70%,"White alone, not Hispanic or Latino"
New York,2020,39.90%,"White alone, not Hispanic or Latino"
New York,2019,39.70%,"White alone, not Hispanic or Latino"
New York,2018,41.50%,"White alone, not Hispanic or Latino"
New York,2017,38.70%,"White alone, not Hispanic or Latino"
New York,2016,39.80%,"White alone, not Hispanic or Latino"
New York,2015,38.80%,"White alone, not Hispanic or Latino"
North Carolina,2022,45.30%,"White alone, not Hispanic or Latino"
North Carolina,2021,45.30%,"White alone, not Hispanic or Latino"
North Carolina,2020,43.20%,"White alone, not Hispanic or Latino"
North Carolina,2019,43.70%,"White alone, not Hispanic or Latino"
North Carolina,2018,42.70%,"White alone, not Hispanic or Latino"
North Carolina,2017,42.00%,"White alone, not Hispanic or Latino"
North Carolina,2016,41.50%,"White alone, not Hispanic or Latino"
North Carolina,2015,40.50%,"White alone, not Hispanic or Latino"
North Dakota,2022,39.00%,"White alone, not Hispanic or Latino"
North Dakota,2021,37.50%,"White alone, not Hispanic or Latino"
North Dakota,2020,35.20%,"White alone, not Hispanic or Latino"
North Dakota,2019,35.30%,"White alone, not Hispanic or Latino"
North Dakota,2018,35.00%,"White alone, not Hispanic or Latino"
North Dakota,2017,34.70%,"White alone, not Hispanic or Latino"
North Dakota,2016,33.90%,"White alone, not Hispanic or Latino"
North Dakota,2015,32.70%,"White alone, not Hispanic or Latino"
Ohio,2022,28.70%,"White alone, not Hispanic or Latino"
Ohio,2021,31.00%,"White alone, not Hispanic or Latino"
Ohio,2020,28.70%,"White alone, not Hispanic or Latino"
Ohio,2019,28.10%,"White alone, not Hispanic or Latino"
Ohio,2018,26.80%,"White alone, not Hispanic or Latino"
Ohio,2017,28.80%,"White alone, not Hispanic or Latino"
Ohio,2016,28.20%,"White alone, not Hispanic or Latino"
Ohio,2015,27.60%,"White alone, not Hispanic or Latino"
Oklahoma,2022,32.10%,"White alone, not Hispanic or Latino"
Oklahoma,2021,31.10%,"White alone, not Hispanic or Latino"
Oklahoma,2020,29.30%,"White alone, not Hispanic or Latino"
Oklahoma,2019,29.80%,"White alone, not Hispanic or Latino"
Oklahoma,2018,29.40%,"White alone, not Hispanic or Latino"
Oklahoma,2017,28.70%,"White alone, not Hispanic or Latino"
Oklahoma,2016,28.50%,"White alone, not Hispanic or Latino"
Oklahoma,2015,27.70%,"White alone, not Hispanic or Latino"
Oregon,2022,31.00%,"White alone, not Hispanic or Latino"
Oregon,2021,29.90%,"White alone, not Hispanic or Latino"
Oregon,2020,28.30%,"White alone, not Hispanic or Latino"
Oregon,2019,28.20%,"White alone, not Hispanic or Latino"
Oregon,2018,27.80%,"White alone, not Hispanic or Latino"
Oregon,2017,27.30%,"White alone, not Hispanic or Latino"
Oregon,2016,27.20%,"White alone, not Hispanic or Latino"
Oregon,2015,27.10%,"White alone, not Hispanic or Latino"
Pennsylvania,2022,36.80%,"White alone, not Hispanic or Latino"
Pennsylvania,2021,36.80%,"White alone, not Hispanic or Latino"
Pennsylvania,2020,35.60%,"White alone, not Hispanic or Latino"
Pennsylvania,2019,35.40%,"White alone, not Hispanic or Latino"
Pennsylvania,2018,35.50%,"White alone, not Hispanic or Latino"
Pennsylvania,2017,35.00%,"White alone, not Hispanic or Latino"
Pennsylvania,2016,34.40%,"White alone, not Hispanic or Latino"
Pennsylvania,2015,33.50%,"White alone, not Hispanic or Latino"
Rhode Island,2022,36.00%,"White alone, not Hispanic or Latino"
Rhode Island,2021,35.70%,"White alone, not Hispanic or Latino"
Rhode Island,2020,33.50%,"White alone, not Hispanic or Latino"
Rhode Island,2019,33.40%,"White alone, not Hispanic or Latino"
Rhode Island,2018,33.00%,"White alone, not Hispanic or Latino"
Rhode Island,2017,32.70%,"White alone, not Hispanic or Latino"
Rhode Island,2016,32.20%,"White alone, not Hispanic or Latino"
Rhode Island,2015,31.40%,"White alone, not Hispanic or Latino"
South Carolina,2022,43.50%,"White alone, not Hispanic or Latino"
South Carolina,2021,40.40%,"White alone, not Hispanic or Latino"
South Carolina,2020,38.00%,"White alone, not Hispanic or Latino"
South Carolina,2019,37.50%,"White alone, not Hispanic or Latino"
South Carolina,2018,37.80%,"White alone, not Hispanic or Latino"
South Carolina,2017,35.50%,"White alone, not Hispanic or Latino"
South Carolina,2016,36.70%,"White alone, not Hispanic or Latino"
South Carolina,2015,35.90%,"White alone, not Hispanic or Latino"
South Dakota,2022,37.70%,"White alone, not Hispanic or Latino"
South Dakota,2021,35.60%,"White alone, not Hispanic or Latino"
South Dakota,2020,33.70%,"White alone, not Hispanic or Latino"
South Dakota,2019,34.20%,"White alone, not Hispanic or Latino"
South Dakota,2018,33.50%,"White alone, not Hispanic or Latino"
South Dakota,2017,33.40%,"White alone, not Hispanic or Latino"
South Dakota,2016,32.10%,"White alone, not Hispanic or Latino"
South Dakota,2015,32.80%,"White alone, not Hispanic or Latino"
Tennessee,2022,30.60%,"White alone, not Hispanic or Latino"
Tennessee,2021,31.60%,"White alone, not Hispanic or Latino"
Tennessee,2020,29.10%,"White alone, not Hispanic or Latino"
Tennessee,2019,30.10%,"White alone, not Hispanic or Latino"
Tennessee,2018,29.70%,"White alone, not Hispanic or Latino"
Tennessee,2017,29.40%,"White alone, not Hispanic or Latino"
Tennessee,2016,28.40%,"White alone, not Hispanic or Latino"
Tennessee,2015,27.90%,"White alone, not Hispanic or Latino"
Texas,2022,31.70%,"White alone, not Hispanic or Latino"
Texas,2021,31.50%,"White alone, not Hispanic or Latino"
Texas,2020,29.20%,"White alone, not Hispanic or Latino"
Texas,2019,29.40%,"White alone, not Hispanic or Latino"
Texas,2018,28.60%,"White alone, not Hispanic or Latino"
Texas,2017,28.90%,"White alone, not Hispanic or Latino"
Texas,2016,27.10%,"White alone, not Hispanic or Latino"
Texas,2015,27.20%,"White alone, not Hispanic or Latino"
Utah,2022,43.10%,"White alone, not Hispanic or Latino"
Utah,2021,42.70%,"White alone, not Hispanic or Latino"
Utah,2020,39.90%,"White alone, not Hispanic or Latino"
Utah,2019,40.00%,"White alone, not Hispanic or Latino"
Utah,2018,39.90%,"White alone, not Hispanic or Latino"
Utah,2017,39.00%,"White alone, not Hispanic or Latino"
Utah,2016,38.70%,"White alone, not Hispanic or Latino"
Utah,2015,37.90%,"White alone, not Hispanic or Latino"
Vermont,2022,43.00%,"White alone, not Hispanic or Latino"
Vermont,2021,42.20%,"White alone, not Hispanic or Latino"
Vermont,2020,40.20%,"White alone, not Hispanic or Latino"
Vermont,2019,40.40%,"White alone, not Hispanic or Latino"
Vermont,2018,40.40%,"White alone, not Hispanic or Latino"
Vermont,2017,40.40%,"White alone, not Hispanic or Latino"
Vermont,2016,38.00%,"White alone, not Hispanic or Latino"
Vermont,2015,37.60%,"White alone, not Hispanic or Latino"
Virginia,2022,40.30%,"White alone, not Hispanic or Latino"
Virginia,2021,40.50%,"White alone, not Hispanic or Latino"
Virginia,2020,36.20%,"White alone, not Hispanic or Latino"
Virginia,2019,35.30%,"White alone, not Hispanic or Latino"
Virginia,2018,35.20%,"White alone, not Hispanic or Latino"
Virginia,2017,34.50%,"White alone, not Hispanic or Latino"
Virginia,2016,33.60%,"White alone, not Hispanic or Latino"
Virginia,2015,34.50%,"White alone, not Hispanic or Latino"
Washington,2022,44.50%,"White alone, not Hispanic or Latino"
Washington,2021,44.50%,"White alone, not Hispanic or Latino"
Washington,2020,42.90%,"White alone, not Hispanic or Latino"
Washington,2019,42.60%,"White alone, not Hispanic or Latino"
Washington,2018,43.20%,"White alone, not Hispanic or Latino"
Washington,2017,42.20%,"White alone, not Hispanic or Latino"
Washington,2016,42.00%,"White alone, not Hispanic or Latino"
Washington,2015,40.80%,"White alone, not Hispanic or Latino"
West Virginia,2022,40.20%,"White alone, not Hispanic or Latino"
West Virginia,2021,39.20%,"White alone, not Hispanic or Latino"
West Virginia,2020,38.00%,"White alone, not Hispanic or Latino"
West Virginia,2019,38.20%,"White alone, not Hispanic or Latino"
West Virginia,2018,38.10%,"White alone, not Hispanic or Latino"
West Virginia,2017,37.00%,"White alone, not Hispanic or Latino"
West Virginia,2016,37.10%,"White alone, not Hispanic or Latino"
West Virginia,2015,36.40%,"White alone, not Hispanic or Latino"
Wisconsin,2022,23.20%,"White alone, not Hispanic or Latino"
Wisconsin,2021,23.00%,"White alone, not Hispanic or Latino"
Wisconsin,2020,19.80%,"White alone, not Hispanic or Latino"
Wisconsin,2019,19.50%,"White alone, not Hispanic or Latino"
Wisconsin,2018,20.80%,"White alone, not Hispanic or Latino"
Wisconsin,2017,18.80%,"White alone, not Hispanic or Latino"
Wisconsin,2016,20.00%,"White alone, not Hispanic or Latino"
Wisconsin,2015,18.60%,"White alone, not Hispanic or Latino"
Wyoming,2022,32.60%,"White alone, not Hispanic or Latino"
Wyoming,2021,31.90%,"White alone, not Hispanic or Latino"
Wyoming,2020,30.60%,"White alone, not Hispanic or Latino"
Wyoming,2019,31.10%,"White alone, not Hispanic or Latino"
Wyoming,2018,30.10%,"White alone, not Hispanic or Latino"
Wyoming,2017,30.50%,"White alone, not Hispanic or Latino"
Wyoming,2016,29.40%,"White alone, not Hispanic or Latino"
Wyoming,2015,28.80%,"White alone, not Hispanic or Latino"
Puerto Rico,2022,28.60%,"White alone, not Hispanic or Latino"
Puerto Rico,2021,28.80%,"White alone, not Hispanic or Latino"
Puerto Rico,2020,28.60%,"White alone, not Hispanic or Latino"
Puerto Rico,2019,29.10%,"White alone, not Hispanic or Latino"
Puerto Rico,2018,27.00%,"White alone, not Hispanic or Latino"
Puerto Rico,2017,27.70%,"White alone, not Hispanic or Latino"
Puerto Rico,2016,28.10%,"White alone, not Hispanic or Latino"
Puerto Rico,2015,27.70%,"White alone, not Hispanic or Latino"
Alabama,2022,16.50%,Black Alone
Alabama,2021,14.30%,Black Alone
Alabama,2020,14.20%,Black Alone
Alabama,2019,15.90%,Black Alone
Alabama,2018,13.50%,Black Alone
Alabama,2017,12.80%,Black Alone
Alabama,2016,13.20%,Black Alone
Alabama,2015,13.40%,Black Alone
Alaska,2022,19.70%,Black Alone
Alaska,2021,23.60%,Black Alone
Alaska,2020,13.70%,Black Alone
Alaska,2019,15.40%,Black Alone
Alaska,2018,17.20%,Black Alone
Alaska,2017,14.60%,Black Alone
Alaska,2016,7.00%,Black Alone
Alaska,2015,12.60%,Black Alone
Arizona,2022,27.30%,Black Alone
Arizona,2021,28.50%,Black Alone
Arizona,2020,24.30%,Black Alone
Arizona,2019,23.70%,Black Alone
Arizona,2018,24.10%,Black Alone
Arizona,2017,23.70%,Black Alone
Arizona,2016,23.60%,Black Alone
Arizona,2015,22.50%,Black Alone
Arkansas,2022,13.40%,Black Alone
Arkansas,2021,15.90%,Black Alone
Arkansas,2020,13.80%,Black Alone
Arkansas,2019,13.70%,Black Alone
Arkansas,2018,11.70%,Black Alone
Arkansas,2017,13.50%,Black Alone
Arkansas,2016,11.70%,Black Alone
Arkansas,2015,10.10%,Black Alone
California,2022,27.50%,Black Alone
California,2021,25.10%,Black Alone
California,2020,25.30%,Black Alone
California,2019,25.40%,Black Alone
California,2018,24.60%,Black Alone
California,2017,23.40%,Black Alone
California,2016,23.50%,Black Alone
California,2015,23.30%,Black Alone
Colorado,2022,32.30%,Black Alone
Colorado,2021,27.40%,Black Alone
Colorado,2020,26.40%,Black Alone
Colorado,2019,28.90%,Black Alone
Colorado,2018,26.00%,Black Alone
Colorado,2017,27.00%,Black Alone
Colorado,2016,24.30%,Black Alone
Colorado,2015,22.40%,Black Alone
Connecticut,2022,23.10%,Black Alone
Connecticut,2021,22.00%,Black Alone
Connecticut,2020,20.10%,Black Alone
Connecticut,2019,19.90%,Black Alone
Connecticut,2018,19.20%,Black Alone
Connecticut,2017,16.60%,Black Alone
Connecticut,2016,18.00%,Black Alone
Connecticut,2015,21.20%,Black Alone
Delaware,2022,24.80%,Black Alone
Delaware,2021,23.00%,Black Alone
Delaware,2020,19.90%,Black Alone
Delaware,2019,23.90%,Black Alone
Delaware,2018,17.40%,Black Alone
Delaware,2017,19.00%,Black Alone
Delaware,2016,19.60%,Black Alone
Delaware,2015,21.30%,Black Alone
Florida,2022,36.00%,Black Alone
Florida,2021,33.60%,Black Alone
Florida,2020,27.00%,Black Alone
Florida,2019,26.00%,Black Alone
Florida,2018,27.50%,Black Alone
Florida,2017,26.50%,Black Alone
Florida,2016,25.20%,Black Alone
Florida,2015,27.90%,Black Alone
Georgia,2022,19.90%,Black Alone
Georgia,2021,19.10%,Black Alone
Georgia,2020,17.00%,Black Alone
Georgia,2019,16.50%,Black Alone
Georgia,2018,16.80%,Black Alone
Georgia,2017,16.20%,Black Alone
Georgia,2016,15.50%,Black Alone
Georgia,2015,15.10%,Black Alone
Hawaii,2022,23.60%,Black Alone
Hawaii,2021,23.40%,Black Alone
Hawaii,2020,21.00%,Black Alone
Hawaii,2019,20.70%,Black Alone
Hawaii,2018,19.70%,Black Alone
Hawaii,2017,19.80%,Black Alone
Hawaii,2016,19.50%,Black Alone
Hawaii,2015,18.80%,Black Alone
Idaho,2022,29.90%,Black Alone
Idaho,2021,28.60%,Black Alone
Idaho,2020,26.80%,Black Alone
Idaho,2019,24.70%,Black Alone
Idaho,2018,27.60%,Black Alone
Idaho,2017,28.90%,Black Alone
Idaho,2016,21.10%,Black Alone
Idaho,2015,26.60%,Black Alone
Illinois,2022,22.90%,Black Alone
Illinois,2021,30.20%,Black Alone
Illinois,2020,24.40%,Black Alone
Illinois,2019,12.40%,Black Alone
Illinois,2018,36.50%,Black Alone
Illinois,2017,26.50%,Black Alone
Illinois,2016,24.40%,Black Alone
Illinois,2015,36.10%,Black Alone
Indiana,2022,20.60%,Black Alone
Indiana,2021,20.40%,Black Alone
Indiana,2020,19.90%,Black Alone
Indiana,2019,20.10%,Black Alone
Indiana,2018,18.80%,Black Alone
Indiana,2017,17.90%,Black Alone
Indiana,2016,18.50%,Black Alone
Indiana,2015,16.80%,Black Alone
Iowa,2022,19.80%,Black Alone
Iowa,2021,16.90%,Black Alone
Iowa,2020,16.20%,Black Alone
Iowa,2019,17.00%,Black Alone
Iowa,2018,16.10%,Black Alone
Iowa,2017,16.70%,Black Alone
Iowa,2016,14.40%,Black Alone
Iowa,2015,15.40%,Black Alone
Kansas,2022,15.60%,Black Alone
Kansas,2021,22.20%,Black Alone
Kansas,2020,17.60%,Black Alone
Kansas,2019,19.00%,Black Alone
Kansas,2018,15.70%,Black Alone
Kansas,2017,18.10%,Black Alone
Kansas,2016,20.80%,Black Alone
Kansas,2015,12.80%,Black Alone
Kentucky,2022,19.90%,Black Alone
Kentucky,2021,22.40%,Black Alone
Kentucky,2020,20.10%,Black Alone
Kentucky,2019,20.20%,Black Alone
Kentucky,2018,17.60%,Black Alone
Kentucky,2017,17.80%,Black Alone
Kentucky,2016,19.80%,Black Alone
Kentucky,2015,19.80%,Black Alone
Louisiana,2022,17.70%,Black Alone
Louisiana,2021,15.90%,Black Alone
Louisiana,2020,15.60%,Black Alone
Louisiana,2019,17.70%,Black Alone
Louisiana,2018,15.60%,Black Alone
Louisiana,2017,16.10%,Black Alone
Louisiana,2016,13.10%,Black Alone
Louisiana,2015,14.10%,Black Alone
Maine,2022,13.70%,Black Alone
Maine,2021,12.00%,Black Alone
Maine,2020,12.10%,Black Alone
Maine,2019,12.90%,Black Alone
Maine,2018,11.10%,Black Alone
Maine,2017,10.80%,Black Alone
Maine,2016,10.70%,Black Alone
Maine,2015,11.40%,Black Alone
Maryland,2022,33.20%,Black Alone
Maryland,2021,33.90%,Black Alone
Maryland,2020,25.60%,Black Alone
Maryland,2019,36.40%,Black Alone
Maryland,2018,18.60%,Black Alone
Maryland,2017,21.30%,Black Alone
Maryland,2016,12.40%,Black Alone
Maryland,2015,26.00%,Black Alone
Massachusetts,2022,31.20%,Black Alone
Massachusetts,2021,29.40%,Black Alone
Massachusetts,2020,27.80%,Black Alone
Massachusetts,2019,28.00%,Black Alone
Massachusetts,2018,27.00%,Black Alone
Massachusetts,2017,25.90%,Black Alone
Massachusetts,2016,27.70%,Black Alone
Massachusetts,2015,25.20%,Black Alone
Michigan,2022,32.70%,Black Alone
Michigan,2021,31.40%,Black Alone
Michigan,2020,26.30%,Black Alone
Michigan,2019,27.50%,Black Alone
Michigan,2018,28.30%,Black Alone
Michigan,2017,23.60%,Black Alone
Michigan,2016,24.60%,Black Alone
Michigan,2015,21.40%,Black Alone
Minnesota,2022,15.20%,Black Alone
Minnesota,2021,15.80%,Black Alone
Minnesota,2020,14.50%,Black Alone
Minnesota,2019,14.80%,Black Alone
Minnesota,2018,14.60%,Black Alone
Minnesota,2017,13.60%,Black Alone
Minnesota,2016,13.50%,Black Alone
Minnesota,2015,14.10%,Black Alone
Mississippi,2022,28.10%,Black Alone
Mississippi,2021,26.30%,Black Alone
Mississippi,2020,24.10%,Black Alone
Mississippi,2019,22.20%,Black Alone
Mississippi,2018,22.50%,Black Alone
Mississippi,2017,26.10%,Black Alone
Mississippi,2016,22.90%,Black Alone
Mississippi,2015,20.70%,Black Alone
Missouri,2022,12.70%,Black Alone
Missouri,2021,13.40%,Black Alone
Missouri,2020,11.30%,Black Alone
Missouri,2019,11.40%,Black Alone
Missouri,2018,11.30%,Black Alone
Missouri,2017,12.00%,Black Alone
Missouri,2016,10.10%,Black Alone
Missouri,2015,10.40%,Black Alone
Montana,2022,18.60%,Black Alone
Montana,2021,18.80%,Black Alone
Montana,2020,16.20%,Black Alone
Montana,2019,16.50%,Black Alone
Montana,2018,16.40%,Black Alone
Montana,2017,14.70%,Black Alone
Montana,2016,15.40%,Black Alone
Montana,2015,14.80%,Black Alone
Nebraska,2022,42.40%,Black Alone
Nebraska,2021,13.20%,Black Alone
Nebraska,2020,27.50%,Black Alone
Nebraska,2019,30.10%,Black Alone
Nebraska,2018,25.50%,Black Alone
Nebraska,2017,20.30%,Black Alone
Nebraska,2016,22.60%,Black Alone
